Id,Name,CourseType,Credits,Faculty
176e2aad-6d52-5de6-b974-c665f1b54a91,Biomedicinos duomenų analizė, Compulsory,5,MIF
615ca456-1012-5dbd-a237-f3244331d201,Biometrija, Compulsory,5,MIF
252aa14f-072d-57d2-90c6-d27215ebfd55,Biomolekulių geometrija, Optional,5,MIF
ecba1a68-931c-5ee8-828e-ac8259c9ab45,Blokų grandinių programavimas, Optional,5,MIF
a686ae00-64ac-53da-8987-505bebf4bd3e,Blokų grandinių technologijos, Optional,5,MIF
5443978c-83d3-5764-814f-3b55242293eb,Buhalterinė apskaita, Optional,5,MIF
2c6f66b1-c92b-5fca-8afb-112f28b41218,BUS dalykas (modulis), None,5,MIF
99966bc3-8d32-52a5-851d-d67025ff3216,BUS dalykas (modulis), BUS,5,MIF
e9271a2a-1ece-53f1-8ba3-36d9ca983082,CASE metodas, Optional,5,MIF
2c147efc-2f8b-534c-8cd7-c0711dc6618f,Cenzūruotų imčių analizė, Compulsory,5,MIF
96f78049-3c9f-5243-937a-5472b49c4736,Cenzūruotų imčių analizė, Optional,5,MIF
24baf076-e89b-59d4-8d41-9eaa361f3921,Chaoso teorija ir fraktalai, Optional,5,MIF
049c82f0-aa55-58cd-bea5-e489ce1bfc94,Dalinių išvestinių diferencialinės lygtys, Compulsory,5,MIF
6dc1f272-2969-5d5f-84b5-8f63fa360e62,Dalinių išvestinių diferencialinės lygtys, Optional,5,MIF
91563c24-6a15-5a0c-aff2-ea4a1571fe29,Daugiamačių duomenų vizualizacija, Optional,5,MIF
7ae2f896-4401-57af-8fc7-77abc7a07359,Daugiamatė statistika, Compulsory,5,MIF
564eca7b-1fa5-5754-ab81-db9ed1248ae1,Daugiamatė statistika, Optional,5,MIF
36315a1a-136d-54f5-bcd9-5f7eb9f14c06,Daugiamatės duomenų struktūros, Optional,5,MIF
50ab36ef-24eb-5392-aa4d-fee3996afd32,Daugiamatės laiko eilutės ir finansų ekonometrija, Compulsory,5,MIF
7dd28397-58df-5eb4-90e3-2befb7c76e16,Daugiaparametrinė statistika, Compulsory,5,MIF
773c56d5-2de4-58ab-9da9-e40397f9f7a0,Demografinė ekonomika, Optional,5,MIF
bd0b5628-08e1-5bb6-b6ae-1ec9a63d55f1,Deterministiniai matematiniai modeliai, Optional,5,MIF
31f4674e-cfc3-5754-a948-c6d32efccc49,Didžiųjų duomenų analitika, Optional,5,MIF
e12155a0-df55-5e96-ae9c-5acec9702f4f,Didžiųjų duomenų analizė, Compulsory,5,MIF
09fe7b1d-6471-593b-8bbe-7c41dd128939,Diferencialinės ir integralinės lygtys, Compulsory,5,MIF
eb87a363-892d-5402-bd4f-67a15b72999b,Diferencialinės lygtys, Compulsory,5,MIF
4a624d97-d10a-5041-a12f-89f9b3b54da9,Diferencialinės lygtys, Optional,5,MIF
7c17df47-2a31-5b59-95d0-b901130a8667,Diferencialinės lygtys gyvybės moksluose, Optional,5,MIF
c3fe241f-0119-5f3e-9946-721417b9d753,Diferencialinės lygtys I/II d., Compulsory,5,MIF
d36493cb-8a19-55c1-b84a-a296c9a17886,Diferencialinės lygtys I/II d., Optional,5,MIF
405e366a-a533-51bb-851e-95b8465e30ca,Diferencialinės lygtys II/II d., Compulsory,5,MIF
98ec7c95-8bd5-56a5-8742-8d470c703405,Diferencialinės lygtys II/II d., Optional,5,MIF
636d0411-d458-5c37-9e5f-4951e898d8e7,Diferencialinių lygčių asimptotiniai metodai, Optional,5,MIF
df26c1f5-b5f8-5617-b871-edec1f61aebf,Diferencialinių lygčių kraštinių uždavinių asimptotiniai metodai, Optional,5,MIF
8ddb1a81-de14-55f4-9a6f-81507c5fd3ab,Diferencialinių lygčių skaitiniai sprendimo metodai, Optional,5,MIF
38462ee5-76b4-59b6-912c-ecba49c2a6a1,Dinaminės sistemos, Optional,5,MIF
a6c06ad6-847a-5e53-bdde-d1be3a9e251c,Dinaminiai išgyvenamumo teorijos aspektai, Optional,5,MIF
9d0900f3-2926-598e-90d0-87fb08004e0d,Dirbtiniai neuroniniai tinklai, Compulsory,5,MIF
13c59994-3500-5f2e-8472-8673627a25ef,Dirbtinio intelekto pagrindai, Optional,5,MIF
9ea9e790-443e-592a-afd4-6ffee2a7c912,Dirbtinis intelektas, Compulsory,5,MIF
c18d642d-fd96-5944-b367-bc2cf18d9799,Dirbtinis intelektas, Optional,5,MIF
af8d7b15-ab0a-5bc2-92ba-0a44a4710861,Diskrečioji matematika, Compulsory,5,MIF
d556a2cd-e971-53bb-b705-0cbdddbe46be,Diskrečioji matematika, Optional,5,MIF
485946d9-5db7-5436-8281-9a0de58df222,Diskrečioji matematika ir algoritmai, Compulsory,5,MIF
bfb09496-e7ed-5377-9109-d25b2a0256cf,Diskrečioji matematika ir skaičiavimo modeliai, Compulsory,5,MIF
e1d7c317-8d4f-55a5-a93a-ce251ad8e60c,Diskrečiosios matematikos pagrindai, Compulsory,5,MIF
843e3804-3f1c-5dd7-b862-b75fbc04ffc6,Diskrečiosios matematikos pagrindai, Optional,5,MIF
c7065ff3-e584-5ac7-b1d9-fb1f80518e96,Diskrečiosios struktūros, Compulsory,5,MIF
9d700ee1-cd4d-5860-88fc-267d85b5b233,Diskretaus laiko finansų modeliai, Compulsory,5,MIF
515e92d5-f48e-5539-8f35-8573691540cd,Diskretaus pasirinkimo modeliai, Compulsory,5,MIF
910b73d7-0a12-5d77-87d9-8afe3a6d6a14,Diskretus optimizavimas, Compulsory,5,MIF
56ff0178-257e-5c57-ab7e-9ff68f992b1f,Dokumentų valdymo sistemos, Optional,5,MIF
891b3d9b-76ba-514a-8387-2d069b6ff6fc,Draudimo teisė, Compulsory,5,MIF
37681bc3-5f60-5f9c-b55f-05aa76b3d1d9,Draudos tikimybiniai rizikos modeliai, Optional,5,MIF
8ab9cf69-213d-5773-bc40-cad20b31ffc5,Duomenų analizė, Compulsory,5,MIF
1b4e7e05-f6b2-55a2-9bab-e7becdb740df,Duomenų analizė, Optional,5,MIF
5649246b-c39d-578d-aea4-ac02be2caf84,Duomenų bazių projektavimas, Optional,5,MIF
fe35cbe8-8f51-5126-acc9-eab93d00ea81,Duomenų bazių užklausų kalbos, Optional,5,MIF
b0960e26-a582-5477-9dce-bd71f0fcc802,Duomenų bazių valdymo sistemos, Compulsory,5,MIF
16468326-7f4e-5930-8f16-df9db956263c,Duomenų bazių valdymo sistemos, Optional,5,MIF
a15d90d4-3abf-5140-8b3d-10da5338f38f,Duomenų bazių valdymo sistemų papildomi skyriai, Optional,5,MIF
e46631ad-294b-5008-8a4b-260a31911b3a,Duomenų gavyba, Compulsory,5,MIF
5a810ef9-ab5b-5291-a8d7-5f93d6a5b6f0,Duomenų saugyklų technologijos, Optional,5,MIF
4ebf13ad-2074-5508-91ab-b2fdcb529f27,Duomenų struktūros, Compulsory,5,MIF
a4452ffc-0444-5dbc-ac8d-f7bc22f488ba,Duomenų struktūros ir algoritmai, Compulsory,5,MIF
bdecee17-f28e-5327-b6ab-ffb7df8ce9cc,Duomenų tyrimas, Compulsory,5,MIF
74465a69-7863-5514-b5b9-6ad48839483d,Duomenų tvarkyba ir transformavimas R aplinkoje, Optional,5,MIF
9c39c58f-998b-584b-82e3-9fdd039b95db,Duomenų vizualizavimas, Compulsory,5,MIF
5a26afda-0796-546f-85a6-369500ccbdb8,Duomenų vizualizavimas, Optional,5,MIF
58466d83-137a-5fc8-87ae-a8ad200cba45,Eilių teorija, Optional,5,MIF
7b025da6-ad2a-5632-b73b-a5e1421e1b28,Ekonometrija, Compulsory,5,MIF
34a78f39-d0d9-51e9-bcf7-2d7b71d9bb90,Ekonometrija I/II d., Compulsory,5,MIF
fa90b476-5e8b-5194-9e30-0eb24d86e78b,Ekonometrija II/II d., Compulsory,5,MIF
f1727bea-c537-530b-994c-138cf5fa4c02,Ekonometrinė rinkos struktūrų analizė, Compulsory,5,MIF
6ad44972-270b-576d-8e41-b57ead830a4b,Ekonometrinė rinkos struktūrų analizė, Optional,5,MIF
41ad415a-ce71-5105-8803-1dcd365ddeb6,Ekonometrinis projektas-kursinis darbas, Compulsory,5,MIF
e553ab4e-be4d-5a51-bd75-826f4deb2998,Ekonomikos pradmenys, Compulsory,5,MIF
967a0345-f7a2-5645-9cd8-85e72ec1811c,Ekonomikos teorija (mikroekonomika), Compulsory,5,MIF
025523e3-0a07-5ec6-956d-94b21403502f,Ekonomikos teorija I/II d., Compulsory,5,MIF
e95026a6-cd78-5802-aeb2-b47086905127,Ekonomikos teorija II/II d., Compulsory,5,MIF
d790a0de-f8c9-53ee-9a0f-4d2c5ffe65a7,Ekonominių duomenų šaltiniai ir jų apdorojimas, Optional,5,MIF
edc797c2-71a2-5be1-9d7f-09b8bd961e53,Eksperimentinė ekonomika, Compulsory,5,MIF
33c4f371-dad6-575e-a68f-cf17d4f6d25c,Eksperimento planavimas, Optional,5,MIF
bbd199f2-41b7-53a4-af0d-c510ed31a652,Elektronikos fizikiniai pagrindai, Optional,5,MIF
62d02273-2b65-53a2-9e85-ba409ca13f1e,Elektroninės komercijos technologijų pagrindai, Optional,5,MIF
dbd77dd5-e1b5-5c9d-b0fb-c884737feed2,Elektroniniai duomenų tinklai ir duomenų vizualizacija, Compulsory,5,MIF
4da842c1-63ab-5187-b6a3-8f3e2f4538fa,Elektroninio parašo infrastruktūra ir elektroninė komercija, Optional,5,MIF
94649e8f-136d-5ea1-9f02-69e16e4c8c35,Elektroninio parašo infrastruktūra ir elektroniniai dokumentai, Optional,5,MIF
66cbb36d-76f0-5c3d-9b85-2cbfa1eb4023,Elgsenos ekonomika, Compulsory,5,MIF
462c3410-2d29-58dd-8113-7109e84ac75b,Elgsenos ekonomika, Optional,5,MIF
