Id,Name,Description,Price
1a0b667a-b456-40b4-97e4-33348df3b6cb,VILNIAUS universiteto džemperis,Universalus džemperis su gobtuvu,3600
d44c2ee4-d751-499a-9f91-47d4db6b48e8,FILOLOGIJOS fakulteto džemperis,Universalus džemperis su gobtuvu,3600
11644554-b4cd-40db-bf16-1282459a527c,VILNIAUS universiteto marškinėliai,Marškinėliai,1400
06383305-9728-4db8-bf3c-c7ce4e2c2ae4,VILNIAUS universiteto medžiaginis maišelis,Medžiaginis maišelis,600
ac241802-6e8c-40b6-ac70-8a766bd16dc2,TEISĖS fakulteto džemperis, Universalus džemperis su gobtuvu,3600
ea18bba2-585a-436e-a29a-4720095bab76,VILNIAUS universiteto 440 jubiliejinis puodelis,Specialiai VU 440-ojo gimtadienio proga sukurtas molinis puodelis,1400
f780d16e-000e-49b4-bc69-9374fd7fbed8,VILNIAUS universiteto studentiška kepurėlė,Bordo spalvos siuvinėta Vilniaus universiteto studento(-ės) kepuraitė.,2000
2516dfb5-c1da-4e71-993b-66c9334bcbee,ISTORIJOS fakulteto džemperis,Universalus džemperis su gobtuvu,3600
